phrase,timezone,signal_type,confidence,notes
"大阪から",Asia/Tokyo,city,high,osaka
"私は東京にいます",Asia/Tokyo,city,high,formal japanese

# Cities - Chinese
"我在北京",Asia/Shanghai,city,high,beijing chinese
"上海这里",Asia/Shanghai,city,high,shanghai
"深圳时间",Asia/Shanghai,city,high,shenzhen

# Countries
"I'm in the UK",Europe/London,country,medium,ambiguous summer/winter
"From the US",America/New_York,country,low,multiple zones
"Based in Germany",Europe/Berlin,country,high,single zone
"I live in Japan",Asia/Tokyo,country,high,single zone
"From Australia",Australia/Sydney,country,low,multiple zones
"In Canada",America/Toronto,country,low,multiple zones
"Living in Brazil",America/Sao_Paulo,country,medium,main zone
"I'm in India",Asia/Kolkata,country,high,single zone
"From Russia",Europe/Moscow,country,low,multiple zones
"Based in France",Europe/Paris,country,high,mainland
"In Spain",Europe/Madrid,country,high,mainland
"Living in Italy",Europe/Rome,country,high,single zone
"From the Netherlands",Europe/Amsterdam,country,high,single zone
"I'm in Switzerland",Europe/Zurich,country,high,single zone
"Based in Israel",Asia/Jerusalem,country,high,single zone
"From South Korea",Asia/Seoul,country,high,single zone
"In Thailand",Asia/Bangkok,country,high,single zone
"Living in Indonesia",Asia/Jakarta,country,medium,main island
"From the Philippines",Asia/Manila,country,high,single zone
"I'm in Vietnam",Asia/Ho_Chi_Minh,country,high,single zone
"Based in Poland",Europe/Warsaw,country,high,single zone
"From Ukraine",Europe/Kyiv,country,high,single zone
"In Turkey",Europe/Istanbul,country,high,single zone
"Living in Egypt",Africa/Cairo,country,high,single zone
"From South Africa",Africa/Johannesburg,country,high,single zone
"I'm in Nigeria",Africa/Lagos,country,high,single zone
"Based in Kenya",Africa/Nairobi,country,high,single zone
"From New Zealand",Pacific/Auckland,country,high,main islands
"In Argentina",America/Argentina/Buenos_Aires,country,high,single zone
"Living in Chile",America/Santiago,country,high,mainland
"From Colombia",America/Bogota,country,high,single zone
"I'm in Mexico",America/Mexico_City,country,medium,multiple zones

# Regions
"West Coast US",America/Los_Angeles,region,high,pacific
"East Coast",America/New_York,region,high,eastern
"Central Europe",Europe/Berlin,region,medium,multiple countries
"Southeast Asia",Asia/Singapore,region,low,multiple zones
"Middle East",Asia/Dubai,region,low,multiple zones
"Scandinavia",Europe/Stockholm,region,low,multiple countries
"Baltic states",Europe/Tallinn,region,low,multiple countries

# Negative cases - past/travel (should NOT update timezone)
"I visited Berlin last year",,negative,none,past visit
"Going to Tokyo next month",,negative,none,future travel
"I used to live in London",,negative,none,past residence
"Planning to move to Sydney",,negative,none,future plan
"My friend is in Paris",,negative,none,third party
"The meeting is for people in NY",,negative,none,others location
"Sending this from the airport",,negative,none,transit
"On vacation in Bali",,negative,none,temporary
"Passing through Dubai",,negative,none,transit
"Connecting flight in Frankfurt",,negative,none,transit
